row_number,year,unc_status,comp_major,primary_major,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,residency,on_campus,international,section,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interested,valuable,grade,would_recommend
280,24,Incoming First-year Student,Yes - Minor,Public Health,"MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,5,3,2,4,3,4,6,3,7,7,6,6,6,3,5,6,B,4
281,24,Incoming First-year Student,No,Art,"MATH 129P, MATH 231, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,5,4,2,4,3,3,1,7,6,6,4,5,5,6,2,5,4,B,4
282,24,Returning UNC Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381",7-12 months,No,Yes,High school course (IB or other),2-6 months,"Python, Java / C#, C / C++",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,4,4,7,5,1,5,4,5,5,5,6,6,5,5,4,6,6,A,5
283,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 231, STOR 151",2-6 months,No,No,On-line course,1 month or so,"Python, JavaScript / TypeScript",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,7,7,6,4,3,6,5,6,7,7,7,7,6,7,2,7,6,C,5
284,24,First-year,Yes - Minor,Economics,"MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,6,7,4,0,7,7,7,7,,,,7,5,5,7,7,A,7
285,23,Returning UNC Student,No,Chemistry,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,7,7,4,2,4,6,5,1,5,2,4,7,7,7,3,6,5,D,3
286,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,6,4,4,5,4,0,7,7,7,4,4,4,4,4,5,4,7,6,B,7
287,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,6,4,4,5,4,0,7,7,7,4,4,4,4,4,5,4,7,6,B,7
288,24,Incoming First-year Student,Yes - BS,Computer Science,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,6,4,2,5,6,0,7,7,7,5,,,,7,4,5,6,7,B,7
289,24,Incoming First-year Student,No,Undecided,STOR 120,2-6 months,No,No,None,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,5,3,1,3,1,3,3,6,2,4,,,5,5,3,5,4,C,3
290,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,6,6,7,7,1,7,6,7,5,3,2,6,7,5,5,5,2,B,4
291,21,Returning UNC Student,No,Math,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",2-6 months,Yes,No,None,> 2 years,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,7,7,7,1,5,1,1,1,1,,,,7,6,2,1,6,C,1
292,24,Incoming First-year Student,No,Environmental Science,"MATH 129P, MATH 130, MATH 231, MATH 232, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,3,7,5,1,4,4,6,4,6,,6,5,5,4,4,6,A,6
293,21,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,1,2,2,6,3,3,6,6,7,3,7,4,6,4,4,5,6,6,B,6
294,22,Returning UNC Student,No,Applied Mathematics,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 113, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,1,1,2,2,0,1,1,5,1,,,,7,7,2,4,4,A,3
295,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 129P, MATH 231, MATH 232",Over 2 years,No,Yes,On-line course,> 2 years,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,1,1,6,6,0,6,5,6,5,6,3,4,5,5,5,4,5,A,5
296,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,6,5,7,4,0,7,7,6,5,,,,5,5,5,7,4,B,6
297,22,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,1,1,7,2,1,6,6,6,6,6,,6,5,4,6,6,5,A,6
298,23,Returning UNC Student,Yes - BA,Math,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 2 - 5:00pm - Async,2,2,6,5,5,3,4,3,4,4,5,3,4,5,6,2,4,4,B,5
299,23,Returning UNC Student,No,Psychology,"MATH 129P, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,7,7,7,2,2,5,6,5,7,6,,6,6,6,4,5,5,B,5
300,23,Returning UNC Student,No,Psychology,"MATH 129P, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,7,7,7,2,2,5,6,5,7,6,,6,6,6,4,5,5,B,5
301,23,Returning UNC Student,No,Psychology,"MATH 129P, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,7,7,7,2,2,5,6,5,7,6,,6,6,6,4,5,5,B,5
302,23,Returning UNC Student,No,Psychology,"MATH 129P, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,7,7,7,2,2,5,6,5,7,6,,6,6,6,4,5,5,B,5
303,23,Returning UNC Student,No,Psychology,"MATH 129P, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,7,7,7,2,2,5,6,5,7,6,,6,6,6,4,5,5,B,5
304,23,Returning UNC Student,No,Journalism,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,4,7,1,4,6,4,4,4,5,,5,5,6,2,3,3,C,3
305,23,Returning UNC Student,No,Math,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",7-12 months,Yes,No,UNC,1 month or so,"Python, JavaScript / TypeScript, R / Matlab / SAS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,5,3,5,1,6,4,7,5,6,,,4,2,6,7,7,A,6
306,21,Returning UNC Student,No,Economics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,6,6,6,0,7,7,7,4,,,,3,3,6,7,7,A,7
307,24,Returning UNC Student,Yes - BA,Business,"MATH 129P, MATH 231, MATH 232, STOR 151",2-6 months,Yes,No,None,None to less than one month!,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,4,6,6,0,7,6,7,6,,,6,4,4,5,6,6,A,7
308,22,Returning UNC Student,No,Environmental Science,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,2,7,4,2,6,7,6,7,6,,5,5,5,5,6,7,B,6
309,22,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,7,3,4,6,6,5,2,7,5,6,5,5,4,4,4,B,4
310,24,Incoming First-year Student,No,Psychology,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,2,1,7,4,1,6,5,5,4,7,,4,5,6,3,4,2,A,6
311,23,Returning UNC Student,No,Economics,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,5,6,6,5,2,7,7,6,6,6,6,6,6,6,5,6,6,B,6
312,24,Incoming First-year Student,No,Business,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 112, STOR 113, STOR 120, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,2,7,5,2,5,5,6,2,6,4,5,6,7,3,6,3,B,4
313,21,Returning UNC Student,No,Biology,"MATH 129P, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,2,6,2,0,5,7,7,4,,,6,5,4,5,6,7,B,7
314,21,Incoming First-year Student,No,Biology,"MATH 129P, MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,3,5,3,7,6,1,7,5,7,1,7,4,6,5,4,6,7,6,A,7
315,22,Returning UNC Student,No,Statistics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,1,1,1,7,5,5,5,3,1,3,,,5,7,7,1,4,5,A,3
316,23,Returning UNC Student,Yes - Minor,Math,"MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,5,7,5,1,6,6,6,6,6,4,6,7,5,5,6,6,B,7
317,23,Returning UNC Student,No,Applied Mathematics,"MATH 129P, MATH 130, MATH 152, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 151",2-6 months,Yes,No,None,None to less than one month!,"Python, R / Matlab / SAS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,3,7,5,1,7,5,5,4,6,,5,4,3,6,7,7,A,7
318,21,Returning UNC Student,No,Political Science,"MATH 129P, MATH 231, MATH 232, MATH 381, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,5,2,7,5,0,7,7,7,6,,,,6,3,6,7,5,A,7
319,23,Returning UNC Student,No,Chemistry,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 2 - 5:00pm - Async,2,4,1,5,7,0,5,5,6,5,5,5,6,2,2,6,5,5,A,6
320,21,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,6,6,7,6,0,7,6,6,6,,,,5,5,5,6,5,A,4
321,24,Incoming First-year Student,Yes - Minor,Economics,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,5,3,6,6,0,7,7,7,6,,,,3,3,6,7,7,A,7
322,23,Returning UNC Student,No,Business,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 113, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,2,2,2,5,5,1,5,4,5,5,5,,5,5,5,5,4,5,A,4
323,24,Incoming First-year Student,Yes - BA,Business,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,3,1,6,3,1,2,3,7,2,5,,4,5,5,5,6,7,A,7
324,24,Incoming First-year Student,No,Math,"MATH 130, MATH 231",1-2 years,No,No,High school course (IB or other),None to less than one month!,"Python, C / C++, SQL",Out-of-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,6,1,1,2,7,1,7,7,7,7,4,3,5,4,2,6,6,7,A,7
325,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 231, MATH 232, MATH 233, MATH 381",2-6 months,No,No,On-line course,None to less than one month!,Python,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,1,1,2,7,6,1,6,6,7,7,7,,7,5,3,6,7,7,A,7
326,23,Incoming Transfer Student,Yes - Minor,Journalism,"MATH 231, MATH 232, STOR 120",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,2,5,3,0,7,7,7,7,,,7,6,5,4,6,7,B,7
327,23,Returning UNC Student,No,Environmental Science,"MATH 130, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,1,1,6,2,2,5,5,4,3,5,,,6,6,2,5,4,C,3
328,24,Incoming First-year Student,No,Chemistry,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,3,3,6,2,2,4,5,7,5,7,2,6,5,5,3,6,6,B,5
329,23,Returning UNC Student,No,Statistics,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 381, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,5,4,3,1,5,6,6,4,,,5,6,6,3,6,6,B,4
330,24,Incoming First-year Student,Yes - BA,Business,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, STOR 151",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,7,7,3,5,0,5,6,5,5,,,5,6,6,2,5,6,B,5
331,24,Returning UNC Student,No,Biostatistics,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",7-12 months,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, R / Matlab / SAS",Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,5,4,4,4,2,5,5,5,5,5,5,6,5,6,4,5,5,B,6
332,21,Returning UNC Student,No,Business,"MATH 231, STOR 155",2-6 months,No,No,On-line course,2-6 months,"Python, R / Matlab / SAS, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,2,7,6,1,7,2,7,5,7,3,4,4,4,5,7,7,A,6
333,24,Incoming First-year Student,Yes - BA,Psychology,"MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,7,3,3,7,7,2,7,7,7,7,7,7,4,4,4,6,7,7,A,7
334,24,Returning UNC Student,Yes - BS,Computer Science,"MATH 130, MATH 231",7-12 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,5,7,5,1,6,7,7,6,7,,7,5,4,6,7,7,A,7
335,24,Returning UNC Student,Yes - BS,Computer Science,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,5,4,7,3,3,4,5,5,5,7,4,4,5,4,5,7,7,A,5
336,24,Incoming First-year Student,No,Economics,"MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,1,6,4,5,4,1,6,6,5,3,7,,5,7,7,3,5,7,B,5
337,23,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, STOR 120",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,1,1,7,7,1,3,5,7,1,5,,5,4,4,5,4,3,A,5
338,24,Incoming First-year Student,Yes - BA,Biology,MATH 231,2-6 months,No,No,High school course (IB or other),2-6 months,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,5,5,5,7,2,7,7,7,6,5,6,4,4,4,5,6,6,B,6
339,24,Incoming First-year Student,Yes - Minor,Biostatistics,"MATH 231, MATH 232, MATH 233, STOR 155",7-12 months,No,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, C / C++",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,2,6,5,0,7,5,6,4,,,,4,3,6,7,7,A,7
340,23,Returning UNC Student,No,Statistics,"MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,1,1,7,2,2,6,1,7,6,7,,5,4,4,5,6,7,A,7
341,24,Returning UNC Student,No,Math,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,4,7,7,0,7,5,7,5,,,,4,3,5,7,4,B,7
342,22,Returning UNC Student,No,Economics,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",1-2 years,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",In-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,2,1,1,7,3,0,7,5,7,6,,,,5,4,5,7,7,A,7
343,23,Incoming Transfer Student,Yes - Minor,Statistics,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, STOR 120, STOR 155",2-6 months,No,No,Another college or community college,None to less than one month!,"Python, Java / C#, R / Matlab / SAS",Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,1,7,1,7,4,2,7,7,7,7,7,7,7,4,4,7,7,7,A,7
344,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,1,2,2,7,6,0,7,7,7,7,7,7,7,5,5,6,7,7,A,7
345,22,Incoming Transfer Student,No,Psychology,"MATH 129P, MATH 130, MATH 152, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,5,3,7,1,4,7,7,5,3,7,,,5,6,2,5,4,C,6
346,23,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,6,4,7,2,4,5,5,4,4,7,,6,6,5,3,4,4,B,4
347,23,Incoming Transfer Student,Yes - BS,Computer Science,"MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,Another college or community college,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,6,6,5,4,3,6,4,5,4,7,6,,6,6,4,7,7,B,7
348,21,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,1,1,1,6,7,0,7,7,7,5,,,,4,2,6,7,4,A,7
349,24,Incoming First-year Student,No,Undecided,"MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,6,5,3,1,7,5,7,7,6,,,5,5,5,6,6,A,7
350,23,Returning UNC Student,No,Statistics,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,UNC,1 month or so,"Python, C / C++, R / Matlab / SAS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,7,7,4,5,2,5,5,7,4,,,,5,4,4,7,6,C,5
351,23,Returning UNC Student,No,Computer Science,STOR 155,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,3,7,5,3,7,7,7,7,7,,7,4,4,7,7,7,B,7
352,24,Returning UNC Student,Yes - BA,Math,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,2,7,6,2,7,6,6,7,6,,,6,6,4,7,7,A,7
353,24,Returning UNC Student,Yes - BA,Math,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,2,7,6,2,7,6,6,7,6,,,6,6,4,7,7,A,7
354,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 231, MATH 232",2-6 months,Yes,No,None,None to less than one month!,"Python, JavaScript / TypeScript",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,1,6,5,7,5,2,5,7,6,5,7,7,4,6,6,5,7,7,A,6
355,23,Returning UNC Student,No,Economics,"MATH 231, MATH 232, MATH 233",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,3,7,3,0,4,4,6,4,,,,5,4,5,6,2,B,5
356,24,Incoming First-year Student,Yes - BS,Computer Science,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,4,5,4,1,4,5,3,5,5,,,,6,6,2,5,5,C,5
357,23,Returning UNC Student,Yes - Minor,Math,"MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,6,6,6,6,7,0,6,6,6,6,3,3,6,6,7,5,5,6,B,5
358,21,Returning UNC Student,No,Exercise And Sport Science,"MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,5,7,5,5,7,7,6,6,6,6,6,5,5,4,5,5,C,6
359,24,Incoming First-year Student,No,Business,"MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,1,1,1,7,7,1,5,3,3,3,6,6,3,5,5,3,6,6,A,3
360,23,Returning UNC Student,No,Statistics,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,6,6,3,7,0,7,6,6,4,4,4,4,3,3,6,7,6,A,7
361,21,Returning UNC Student,No,Environmental Science,"MATH 130, MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,1,1,7,5,2,4,4,3,3,5,5,5,7,7,3,4,2,B,1
362,24,Incoming First-year Student,No,Statistics,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",2-6 months,No,No,Another college or community college,1 month or so,"Python, Java / C#",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,3,5,6,0,6,5,7,4,,,,4,3,6,7,5,A,7
363,24,Incoming First-year Student,Yes - Minor,Chemistry,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,7,3,3,5,6,1,6,6,7,6,5,5,6,3,3,5,6,6,A,6
364,21,Returning UNC Student,No,Psychology,"MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,3,7,2,0,7,6,7,5,3,4,4,6,5,5,7,6,B,6
365,24,Returning UNC Student,No,Economics,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#",Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,2,1,2,7,5,0,7,6,7,6,,,6,4,4,6,7,7,A,7
366,24,Incoming First-year Student,Yes - Minor,Statistics,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,7,5,0,7,7,7,4,,,3,5,4,6,7,7,A,7
367,24,Incoming First-year Student,Yes - Minor,Biology,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,5,3,6,1,3,5,7,5,3,,,5,6,6,3,6,7,B,7
368,24,Incoming First-year Student,Yes - BA,Psychology,"MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 2 - 5:00pm - Async,1,4,2,2,3,2,3,3,5,5,7,5,7,6,6,4,3,5,A,5
369,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,1,1,7,5,1,7,3,7,5,7,,,5,5,5,7,7,A,7
370,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,1,1,5,6,1,7,5,7,5,7,,,6,5,4,7,7,A,6
371,24,Incoming First-year Student,Yes - Minor,BME,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,4,2,2,7,6,0,6,5,7,5,,,,4,2,6,7,6,A,7
